id,league,club,currency,total_payroll_eur
205,Bundesliga,Bayern Munich,EUR,248940000
206,Bundesliga,Borussia Dortmund,EUR,115360000
207,Bundesliga,Bayer Leverkusen,EUR,92450000
208,Bundesliga,Leipzig,EUR,77620000
209,Bundesliga,Wolfsburg,EUR,67360000
210,Bundesliga,Eintracht Frankfurt,EUR,64660000
211,Bundesliga,Stuttgart,EUR,59870000
212,Bundesliga,Freiburg,EUR,54960000
213,Bundesliga,Monchengladbach,EUR,53910000
214,Bundesliga,Hoffenheim,EUR,49470000
215,Bundesliga,Werder Bremen,EUR,44050000
216,Bundesliga,Mainz,EUR,41060000
217,Bundesliga,Union Berlin,EUR,35520000
218,Bundesliga,Hamburg,EUR,35410000
219,Bundesliga,Augsburg,EUR,35010000
220,Bundesliga,Koln,EUR,34310000
221,Bundesliga,Heidenheim,EUR,26490000
222,Bundesliga,St Pauli,EUR,26010000
223,Championship,Leicester,EUR,50896300
224,Championship,Sheffield United,EUR,37545690
225,Championship,Southampton,EUR,37530220
226,Championship,Ipswich Town,EUR,35240660
227,Championship,Norwich,EUR,29628620
228,Championship,Birmingham,EUR,27289080
229,Championship,Hull City,EUR,25243946
230,Championship,Middlesbrough,EUR,25109000
231,Championship,West Bromwich,EUR,23143120
232,Championship,Stoke City,EUR,22802780
233,Championship,Watford,EUR,22496950
234,Championship,Wrexham,EUR,21258874
235,Championship,Coventry,EUR,20296640
236,Championship,Derby County,EUR,18935280
237,Championship,Millwall,EUR,18765110
238,Championship,Preston,EUR,18254600
239,Championship,Blackburn,EUR,17916640
240,Championship,Bristol,EUR,17653412
241,Championship,Swansea,EUR,16955120
242,Championship,Oxford,EUR,16670472
243,Championship,QPR,EUR,15644692
244,Championship,Portsmouth,EUR,14882140
245,Championship,Charlton,EUR,14114828
246,Championship,Sheffield Wednesday,EUR,14018914
247,Eredivisie,PSV,EUR,34820000
248,Eredivisie,Ajax,EUR,33070000
249,Eredivisie,Feyenoord,EUR,25830000
250,Eredivisie,Utrecht,EUR,13250000
251,Eredivisie,AZ Alkmaar,EUR,13200000
252,Eredivisie,NEC Nijmegen,EUR,11730000
253,Eredivisie,Twente,EUR,11360000
254,Eredivisie,Fortuna Sittard,EUR,9580000
255,Eredivisie,Heracles,EUR,7090000
256,Eredivisie,Sparta Rotterdam,EUR,7060000
257,Eredivisie,NAC Breda,EUR,6990000
258,Eredivisie,PEC Zwolle,EUR,6990000
259,Eredivisie,Heerenveen,EUR,6890000
260,Eredivisie,Go Ahead Eagles,EUR,5270000
261,Eredivisie,Groningen,EUR,5010000
262,Eredivisie,Excelsior,EUR,4900000
263,Eredivisie,Volendam,EUR,4020000
264,Eredivisie,Telstar,EUR,2790000
265,La Liga,Real Madrid,EUR,307930000
266,La Liga,Barcelona,EUR,234640000
267,La Liga,Atletico Madrid,EUR,153920000
268,La Liga,Athletic Club,EUR,85110000
269,La Liga,Real Betis,EUR,78580000
270,La Liga,Real Sociedad,EUR,68260000
271,La Liga,Villarreal,EUR,66900000
272,La Liga,Sevilla,EUR,64800000
273,La Liga,Valencia,EUR,52230000
274,La Liga,Girona,EUR,47480000
275,La Liga,Celta Vigo,EUR,37090000
276,La Liga,Getafe,EUR,36160000
277,La Liga,Mallorca,EUR,34980000
278,La Liga,Rayo Vallecano,EUR,33530000
279,La Liga,Osasuna,EUR,32710000
280,La Liga,Elche,EUR,28450000
281,La Liga,Espanyol,EUR,26580000
282,La Liga,Real Oviedo,EUR,26470000
283,La Liga,Levante,EUR,25270000
284,La Liga,Alaves,EUR,25130000
285,Ligue 1,PSG,EUR,178610000
286,Ligue 1,Marseille,EUR,90520000
287,Ligue 1,Monaco,EUR,63710000
288,Ligue 1,Lyon,EUR,57680000
289,Ligue 1,Nice,EUR,56430000
290,Ligue 1,Rennes,EUR,54450000
291,Ligue 1,Lille,EUR,50450000
292,Ligue 1,Paris FC,EUR,42390000
293,Ligue 1,Lens,EUR,40950000
294,Ligue 1,Nantes,EUR,32770000
295,Ligue 1,Strasbourg,EUR,30360000
296,Ligue 1,Brest,EUR,26690000
297,Ligue 1,Lorient,EUR,23330000
298,Ligue 1,Metz,EUR,23020000
299,Ligue 1,Auxerre,EUR,22830000
300,Ligue 1,Toulouse,EUR,20490000
301,Ligue 1,Angers,EUR,18700000
302,Ligue 1,Le Havre,EUR,17840000
303,MLS,LA FC,EUR,20488042
304,MLS,Atlanta United,EUR,18242010
305,MLS,Inter Miami,EUR,17055072
306,MLS,Chicago Fire,EUR,14789266
307,MLS,LA Galaxy,EUR,14168796
308,MLS,FC Cincinnati,EUR,14031833
309,MLS,Seattle Sounders,EUR,13678645
310,MLS,San Diego FC,EUR,13482947
311,MLS,NE Revolution,EUR,13300211
312,MLS,Vancouver Whitecaps,EUR,13237256
313,MLS,NYC FC,EUR,12615705
314,MLS,Columbus Crew,EUR,12454836
315,MLS,NY Red Bulls,EUR,11841984
316,MLS,Portland Timbers,EUR,11031948
317,MLS,Nashville SC,EUR,10994796
318,MLS,Charlotte FC,EUR,10622586
319,MLS,Austin,EUR,10017532
320,MLS,St. Louis City,EUR,9584068
321,MLS,Colorado Rapids,EUR,8813660
322,MLS,Minnesota United,EUR,8130994
323,MLS,FC Dallas,EUR,7509712
324,MLS,Houston Dynamo,EUR,7449812
325,MLS,CF Montreal,EUR,7425029
326,MLS,Real Salt Lake,EUR,7239456
327,MLS,Orlando City,EUR,6658712
328,MLS,Sporting KC,EUR,6588220
329,MLS,Toronto FC,EUR,6454219
330,MLS,San Jose Earthquakes,EUR,5794024
331,MLS,Philadelphia Union,EUR,5451448
332,MLS,DC United,EUR,4421744
333,Premier League,Manchester City,EUR,280025564
334,Premier League,Arsenal,EUR,220973480
335,Premier League,Liverpool,EUR,206456432
336,Premier League,Manchester United,EUR,193173890
337,Premier League,Chelsea,EUR,171964520
338,Premier League,Aston Villa,EUR,170646476
339,Premier League,Tottenham,EUR,162806280
340,Premier League,Newcastle,EUR,138982480
341,Premier League,Nottingham Forest,EUR,104159510
342,Premier League,Everton,EUR,93240784
343,Premier League,Fulham,EUR,91628810
344,Premier League,Crystal Palace,EUR,90926472
345,Premier League,West Ham,EUR,88401768
346,Premier League,Wolverhampton,EUR,82795440
347,Premier League,Brighton,EUR,82223050
348,Premier League,Sunderland,EUR,75246080
349,Premier League,Bournemouth,EUR,73884720
350,Premier League,Leeds,EUR,68129880
351,Premier League,Brentford,EUR,67928770
