analyst_name,best_tm_id,best_method,fuzzy_score,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id
"Aaron Greene",122407,reep,,reep_pf7029e95,,,,
"Aarón Escandell",284430,reep,,reep_pbc6fe046,534955,368922,67669ce7,
"Aarón Herrera",401362,reep,,reep_pcdb31119,,,d86e3070,
"Aarón Martín",251878,reep,,reep_pe0bb5f2e,684981,797286,2f3e911a,
"Abakar Sylla",962555,reep,,reep_peeaa665d,1359613,1170197,,
"Abbas Al Hassan",865104,reep,,reep_p8a6331e6,,,42015391,
"Abbas Hüseynov",325666,reep,,reep_p8cc3cca0,,548218,e09436fb,
"Abdallah Sima",776798,reep,,reep_p2d4bb717,1189856,1029018,fdbde523,11046
"Abde Ezzalzouli",724520,reep,,reep_p2045a229,,1011375,bed68338,
"Abde Rebbach",718034,reep,,reep_p673618da,1200941,1082968,,
"Abdel Abqar",559979,reep,,reep_p0f4eccf8,,1101232,2bc7f211,
"Abdelhamid Aït Boudlal",1134251,reep,,reep_p264e9298,,1597145,6cd15657,
"Abdelhamid Sabiri",340394,reep,,reep_pdf6b27af,769644,807400,4830e0af,6296
"Abdelkader Bedrane",376649,reep,,reep_p48ceca35,,906407,844c72d5,
"Abdellah Ouazane",1194905,reep,,reep_pb0e5a84d,,1931396,,
"Abdellah Zoubir",256973,reep,,reep_pf737632f,,214080,4a1abff3,
"Abdelmounaim Boutouil",520438,reep,,reep_p3a9cc06f,,973414,807674cc,
"Abderrazzaq Hamed-Allah",235052,fuzzy,88.3721,,,,,
"Abdou Harroui",416386,reep,,reep_p120782bf,909030,915812,65fd099c,
"Abdou-Salam Konate",229005,fuzzy,85.5,,,,,
"Abdoul Ouattara",991487,reep,,reep_pf7b0ba93,1343053,1930811,,
"Abdoulaye Bamba",62351,reep,,reep_p47b9dcf3,210400,121180,7fecbcdb,
"Abdoulaye Camara",93305,reep,,reep_p7eb5c404,,2332378,,
"Abdoulaye Doucouré",127187,reep,,reep_p52834f05,,96535,02b29014,1726
"Abdoulaye Faye",6107,reep,,reep_pda89f336,,30402,99df1bff,
"Abdoulaye Kanté",1288949,reep,,reep_p1901e848,,1923335,,
"Abdoulaye Ndiaye",673514,reep,,reep_p1c227fa5,1053676,984527,,
"Arijanet Muric",371021,reep,,reep_p89d39457,760752,888971,99aa1a84,7027
"Abdoulaye Sylla",220888,reep,,reep_p433e58c8,,,,
"Abdoulaye Touré",181382,reep,,reep_p44f93039,439366,149732,,
"Abdoulie Ceesay",1280281,reep,,reep_p1fc1cb27,1659893,1888501,,
"Abdoulie Mboge",1486200,reep,,reep_p587a7921,,,,
"Abdukodir Khusanov",763079,reep,,reep_pc833661e,1362998,1194333,d17ce930,11763
"Abdul Fatawu",864121,reep,,reep_p2b76c109,,1103589,,12911
"Abdul Mumin",451801,reep,,reep_p55f7e7fb,776591,846147,5487adcd,
"Abdul Rahman Al Khaibari",358832,fuzzy,93.617,,,,,
"Abdul Rahman Baba",224884,reep,,reep_pac3da685,,239632,e4086af3,684
"Abdulah Al Jwayzan",1130877,fuzzy,85.5,,,,,
"Abdulaziz Al Bishi",153350,reep,,reep_pbe2004f0,,,778e66d1,
"Abdulaziz Al Dhuwayhi",1269111,fuzzy,85.5,,,,,
"Abdulaziz Al Elewai",748080,fuzzy,86.4865,,,,,
"Abdulaziz Al Fawaz",1129222,fuzzy,97.2973,,,,,
"Abdulaziz Al Harabi",922125,reep,,reep_p31afb523,,1127117,,
"Abdulaziz Al Harbi",1018354,reep,,reep_p8ab8ae4a,,,,
"Brad Stuver",300600,reep,,reep_pffb6be72,,,6a1940d5,
"Brad Young",703487,reep,,reep_p13b7f8c0,,1134529,,
"Abdulaziz Al Hatila",1169198,fuzzy,100,,,,,
"Dimitar Mitov",264302,reep,,reep_p8235eb06,,802859,b118dbfc,
"Abdullah Matuq",921111,reep,,reep_pe4f8e110,,2031044,,
"Abdullah Radif",888633,reep,,reep_p1c5f20f7,,1101759,,
"Abdullah Tarmin",509900,reep,,reep_p56fece0c,,983081,c62f17d0,
"Abdulmalik Al Jaber",1020852,reep,,reep_pf656f13f,,1217926,,
"Abdulmalik Al Marwani",1350967,reep,,reep_p7d2c52be,,,,
"Abdulmalik Al Oyayari",947143,reep,,reep_pd3c04ff5,,1210456,,
