player_id,name,national_team,is_international
201690,"Lewis Dunk",England,t
207236,"Granit Xhaka",Switzerland,t
268375,"Emiliano Mart\\u00ednez",Argentina,t
488139,"Bernardo Silva",Portugal,t
503659,"Joachim Andersen",Denmark,t
540088,"Ollie Watkins",England,t
540963,"Sander Berge",Norway,t
717174,"Joe Rodon",Wales,t
751998,"Omar Alderete",Paraguay,t
789646,"Jayden Bogle","England U20",f
796974,"Pascal Struijk",Netherlands,t
950829,"Chris Richards",USA,t
955529,"Matheus Nunes",Portugal,t
1049999,"Enzo Le F\\u00e9e","France U23",f
1137668,"Mois\\u00e9s Caicedo",Ecuador,t
1174672,"Jo\\u00e3o Gomes",Brazil,t
1178602,"Senne Lammens",Belgium,t
1233655,"Alex Scott",England,t
1250443,"Maxime Est\\u00e8ve","France U21",f
1359649,"Noah Sadiki","DR Congo",t
181069,"Matz Sels",Belgium,t
494417,"Harry Wilson",Wales,t
538501,"Guglielmo Vicario",Italy,t
602304,"Nordi Mukiele",France,t
612150,"Dominic Calvert-Lewin",England,t
789630,"Marcus Tavernier","England U20",f
793907,"Trevoh Chalobah",England,t
795179,Gabriel,Brazil,t
806552,"Cody Gakpo",Netherlands,t
873289,"Marc Cucurella",Spain,t
919435,"Sepp van den Berg","Netherlands U21",f
941573,"Pedro Porro",Spain,t
965764,"Iliman Ndiaye",Senegal,t
1021382,"Jo\\u00e3o Pedro",Brazil,t
1083796,"Kevin Schade",Germany,t
1098096,Evanilson,Brazil,t
1157236,"Yehor Yarmoliuk",Ukraine,t
1171140,"Jaidon Anthony",,f
1174296,"Andr\\u00e9",Brazil,t
1451265,"Malick Diouf",Senegal,t
208494,Casemiro,Brazil,t
290410,"Michael Keane",England,t
719219,"Konstantinos Mavropanos",Greece,t
744494,"Gabriel Gudmundsson",Sweden,t
751550,"Diogo Dalot",Portugal,t
831489,"Alexis Mac Allister",Argentina,t
843040,"Pedro Neto",Portugal,t
848034,"Santiago Bueno",Uruguay,t
850354,"Bruno Guimar\\u00e3es",Brazil,t
863098,"Matheus Cunha",Brazil,t
867414,"Sandro Tonali",Italy,t
877401,"Calvin Bassey",Nigeria,t
886016,"Kiernan Dewsbury-Hall",,f
923312,"Bryan Mbeumo",Cameroon,t
941213,"Crysencio Summerville",Netherlands,t
942381,"Jurri\\u00ebn Timber",Netherlands,t
952322,"Brenden Aaronson",USA,t
955406,"William Saliba",France,t
1296650,"Adam Wharton",England,t
1300526,"Nico O'Reilly",England,t
113836,"Danny Welbeck",England,t
280484,"Nick Pope",England,t
319784,"Alisson Becker",Brazil,t
604785,"Alex Iwobi",Nigeria,t
650616,"Mathias Jensen",Denmark,t
664500,"Viktor Gy\\u00f6keres",Sweden,t
798029,"Ladislav Krejc\\u00ed",Czechia,t
821100,"J\\u00f8rgen Strand Larsen",Norway,t
859282,"Daniel Mu\\u00f1oz",Colombia,t
881735,"Anton Stach",Germany,t
1070052,"Amad Diallo","Ivory Coast",t
1082102,"Igor Jesus",Brazil,t
1116391,"Hugo Bueno","Spain U21",f
1152455,"Florian Wirtz",Germany,t
1195281,"Milos Kerkez",Hungary,t
1197250,"Malo Gusto",France,t
1200631,"Lesley Ugochukwu","France U21",f
1250253,"Dango Ouattara","Burkina Faso",t
1400227,"Yankuba Minteh",Gambia,t
1526689,"\\u00c1lex Jim\\u00e9nez","Spain U21",f
179410,"Idrissa Gana Gueye",Senegal,t
188058,"Daniel Burn",England,t
292313,"Raul Jim\\u00e9nez",Mexico,t
292462,"Mohamed Salah",Egypt,t
356406,"John McGinn",Scotland,t
524434,"Jo\\u00e3o Palhinha",Portugal,t
524437,"Tom\\u00e1s Soucek",Czechia,t
614006,"R\\u00faben Dias",Portugal,t
706297,"Jean-Philippe Mateta",France,t
771294,"Isma\\u00efla Sarr",Senegal,t
793255,Florentino,"Portugal U20",f
815006,"Phil Foden",England,t
959407,"James Hill","England U21",f
961995,"Bukayo Saka",England,t
974268,"Daniel Ballard","Northern Ireland",t
1047676,"Y\\u00e9remi Pino",Spain,t
1197655,"Lewis Hall",England,t
1200657,"Yerson Mosquera",Colombia,t
1354561,"Diego G\\u00f3mez",Paraguay,t
1458711,Murillo,Brazil,t
156008,"Jordan Henderson",England,t
163604,"Karl Darlow",Wales,t
318615,"Leandro Trossard",Belgium,t
416175,"Jos\\u00e9 S\\u00e1",Portugal,t
535936,Joelinton,Brazil,t
600524,Reinildo,Mozambique,t
654908,Richarlison,Brazil,t
760320,"Aaron Wan-Bissaka","DR Congo",t
760359,"Harvey Barnes",England,t
795371,"Ibrahim Sangar\\u00e9","Ivory Coast",t
807729,"Reece James",England,t
888912,"Mikkel Damsgaard",Denmark,t
889534,"Emile Smith Rowe",England,t
894803,"Djed Spence",England,t
933768,"Curtis Jones",England,t
940446,"Brian Brobbey",Netherlands,t
1010426,"Keane Lewis-Potter","England U21",f
1096353,"Cole Palmer",England,t
1168311,"Yasin Ayari",Sweden,t
1398392,"Thierno Barry","France U21",f
210111,"Lucas Digne",France,t
465750,"Timothy Castagne",Belgium,t
465960,"Youri Tielemans",Belgium,t
552718,"Kristoffer Ajer",Norway,t
620618,"Rodrigo Bentancur",Uruguay,t
621515,"Daichi Kamada",Japan,t
710158,"James Justin",England,t
773991,"Ryan Sessegnon","England U21",f
789066,"Cristian Romero",Argentina,t
818975,"Eberechi Eze",England,t
846383,"Callum Hudson-Odoi",England,t
861805,"Jaka Bijol",Slovenia,t
906937,"Anthony Gordon",England,t
955214,"Jean-Clair Todibo",France,t
956682,"Sven Botman",Netherlands,t
970243,"Mats Wieffer",Netherlands,t
1106563,"Nick Woltemade",Germany,t
1197030,"Hugo Ekitik\\u00e9",France,t
1210943,"Jackson Tchatchoua",Cameroon,t
1393669,"Quilindschy Hartman",Netherlands,t
210164,"Alphonse Areola",France,t
466672,"Jefferson Lerma",Colombia,t
469804,"Kenny Tete",Netherlands,t
523193,"Josh Laurent",,f
556972,"Sasa Lukic",Serbia,t
610184,"Emiliano Buend\\u00eda",Argentina,t
729769,"Tyler Adams",USA,t
862608,"Kaoru Mitoma",Japan,t
873559,"Zian Flemming",,f
917802,"Wesley Fofana",France,t
942368,"J\\u00e9r\\u00e9my Doku",Belgium,t
956925,"Georginio Rutter","France U21",f
1076756,"Brennan Johnson",Wales,t
1104053,"Rayan Cherki",France,t
1137667,"Piero Hincapi\\u00e9",Ecuador,t
1173787,"Xavi Simons",Netherlands,t
1185748,"Amadou Onana",Belgium,t
1251334,"Jack Hinshelwood","England Under 18",t
1358581,"Leny Yoro","France U21",f
1609213,"Mateus Man\\u00e9","England Under 18",t
167008,"Pascal Gro\\u00df",Germany,t
191869,"Kieran Trippier",England,t
255610,"Harry Maguire",England,t
295067,"Will Hughes","England U21",f
312765,"Jack Grealish",England,t
521148,"Jacob Murphy","England U21",f
682548,"Ola Aina",Nigeria,t
792645,"Pau Torres",Spain,t
823825,"Randal Kolo Muani",France,t
868344,"Tijjani Reijnders",Netherlands,t
881640,"Lutsharel Geertruida",Netherlands,t
966026,"Ian Maatsen",Netherlands,t
967941,"Mads Hermansen",Denmark,t
1073977,"Benjamin Sesko",Slovenia,t
1105912,"Riccardo Calafiori",Italy,t
1215652,"Omari Hutchinson",Jamaica,t
1238058,"Bashir Humphreys","England Under 16",t
