tm_id,name,full_name,date_of_birth,nationality,position,club_name,club_tm_id,market_value,age,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id,capology_name,analyst_name,understat_name
1089046,"Riley Horan",,,England,Centre-Back,"AFC Wimbledon",3884,,,,,,,,,"Riley Horan",
1089316,"Jay McGrath","John Alan McGrath",,"Ireland, England",Centre-Back,Doncaster,2454,300000,,,,,,,,"Jay McGrath",
1090866,"Zain Tahir",,,"England, Pakistan",Centre-Back,"Oldham Athletic",1078,,,,,,,,,,
1090021,"Llyton Chapman",,,England,Right-Back,Wigan,1071,,,,,,,,,"Llyton Chapman",
1091011,"Kayden Hughes",,,England,Centre-Back,Fleetwood,11177,125000,,,,,,,,"Kayden Hughes",
1091049,"Ty Ewens-Findlay",,,England,Centre-Back,"Crawley Town",3537,,,,,,,,,,
1091077,"George Nevett","George Patrick Nevett",,"Wales, England",Centre-Back,Peterborough,1072,350000,,,,,,,,"George Nevett",
1091080,"Lennon MacLorg",,,England,Goalkeeper,Gillingham,2814,,,,,,,,,,
1091370,"Josh Smith","Joshua Jack Smith",,England,Centre-Back,Accrington,3688,100000,,,,,,,,"Errol Mundle-Smith",
1091409,"Tobias Brenan","Tobias Toumai Moses Brenan",,England,"Central Midfield",Wigan,1071,75000,,,,,,,,"Tobias Brenan",
1091444,"Tom Dean","Thomas Jake Dean",,England,"Right Midfield","Exeter City",6699,75000,,,,,,,,"Tom Wilson-Brown",
1091446,"Jake Richards","Jake Thomas Richards",,England,"Central Midfield",Luton,1031,300000,,,,,,,,"Jake Richards",
1091678,"Zane Okoro","Zane Kola Okoro",,"United States","Right Winger",Tranmere,1074,150000,,,,,,,,"Zane Okoro",
1093821,"Omari Mrisho",,,"England, The Gambia",Right-Back,"Crawley Town",3537,,,,,,,,,,
109751,"Onel Hernández","Onel Lázaro Hernández Mayea",,"Cuba, Germany","Left Winger","Port Vale",1211,250000,,,,,,,,"Onel Hernández",
1093824,"Daniel Vost",,,England,"Defensive Midfield",Huddersfield,1110,,,,,,,,,"Daniel Vost",
1099692,"Jonathan Bland","Jonathan Patrick Richard Bland",,"Wales, England","Defensive Midfield",Barnsley,349,150000,,,,,,,,"Jonathan Bland",
1100014,"Connor Cook","Connor Paul Cook",,England,"Central Midfield",Chesterfield,1219,,,,,,,,,,
1100585,"Kai Payne","Kai Anthony Payne",,England,"Central Midfield",Wigan,1071,125000,,,,,,,,"Kai Payne",
1103174,"Harry Ibbitson","Harry Joe Ibbitson",,England,Centre-Forward,Bradford,1027,,,,,,,,,"Harry Fox",
1104703,"Ben Brookes","Ben Georgie Brookes",,"England, Sweden",Left-Back,"York City",1252,,,,,,,,,,
1108476,"Harry Gray","Harry Andrew Gray",,England,Centre-Forward,"Sheff Wed",1035,700000,,,,,,,,"Harry McGlinchey",
1108567,"Ed Leach","Edward Leach",,"England, Ghana","Right Winger","AFC Wimbledon",3884,,,,,,,,,,
110860,"Luke Garbutt","Luke Samuel Garbutt",,England,Left-Back,Salford,34888,125000,,,,,,,,"Luke Garbutt",
1109827,"Clayton Taylor","Clayton John Taylor",,Australia,"Left Winger",Barnsley,349,650000,,,,,,,,,
1110023,"Adrien Thibaut","Adrien Tinashe Thibaut",,"Ireland, England",Centre-Forward,"Crewe Alexandra",1042,100000,,,,,,,,"Adrien Thibaut",
1112520,"Samuel Tabares","Samuel Ethan Tabares",,"England, Colombia",Centre-Back,Gillingham,2814,,,,,,,,,,
1113888,"Andrew Wogan","Andrew Brian Wogan",,Ireland,Goalkeeper,Stockport,1098,50000,,,,,,,,,
1116111,"Leon Ayinde","Leon Zion Oluwatobi Ayinde",,"Ireland, Nigeria","Left Winger",Doncaster,2454,,,,,,,,,"Leon Ayinde",
1122289,"Harri Pugh","Harrison John Pugh",,Wales,"Central Midfield","Newport County",3716,,,,,,,,,"Harrison Pugh",
1122295,"William Grainger",,,"Wales, England",Centre-Forward,"Sheff Wed",1035,100000,,,,,,,,"Will Grainger",
1169941,"Sam Straughan-Brown","Sam Ellis Straughan-Brown",,"England, Gibraltar","Central Midfield",Doncaster,2454,50000,,,,,,,,"Sam Straughan-Brown",
1169956,"Kain Adom","Kain James Kofi Adom",,"England, Ghana","Right Winger","Burton Albion",2963,75000,,,,,,,,"Kain Adom",
1171119,"Beck-Ray Enoru","Beck-Ray Besongbap Enoru",,Cameroon,Centre-Forward,"Notts County",1045,50000,,,,,,,,"Beck-Ray Enoru",
1176441,"Harley Mills",,,England,Left-Back,Peterborough,1072,150000,,,,,,,,"Harley Mills",
1175955,"Ashqar Ahmed","Ashqar Zamil Ahmed",,"England, Tanzania",Right-Back,Reading,1032,200000,,,,,,,,"Fares Ahmed Al Ghafli",
1176869,"Kai Jennings",,,England,"Central Midfield","AFC Wimbledon",3884,50000,,,,,,,,"Kai Jennings",
1179574,"Cameron Gardner","Cameron Alexander Gardner",,"Scotland, England",Centre-Forward,"Grimsby Town",1034,50000,,,,,,,,"Cameron Gardner",
1186528,"Liam Oakes","Liam Andrew Oakes",,England,"Right Midfield","Exeter City",6699,75000,,,,,,,,"Liam Oakes",
1184522,"Cole Jarvis","Cole Lewis Jarvis",,Wales,"Right Winger","Newport County",3716,75000,,,,,,,,"Cole Jarvis",
1188943,"Neo Dobson","Neo Isaiah Dobson",,England,Centre-Forward,Northampton,1302,,,,,,,,,"Neo Dobson",
1193520,"Kyrell Malcolm",,,England,"Left Winger",Salford,34888,50000,,,,,,,,"Kyrell Malcolm",
119553,"Jack Grimmer","Jack Richard Grimmer",,Scotland,Right-Back,Wycombe,2805,225000,,,,,,,,"Jack Grimmer",
1197833,"Phil Croker",,,England,Centre-Back,"Crewe Alexandra",1042,,,,,,,,,"Phil Croker",
1201243,"Sopuruchukwu Obieri","Sopuruchukwu Malvin Obieri",,"England, Nigeria",Centre-Forward,Cheltenham,3371,,,,,,,,,,
1201750,"Junior Nkeng","Robert Junior Nkeng",,"Spain, England","Left Winger","AFC Wimbledon",3884,150000,,,,,,,,"Junior Nkeng",
1201875,"Ethon Archer","Ethon Emmanuel Archer",,England,"Left Winger",Bromley,8981,200000,,,,,,,,"Ethon Archer",
1203725,"Max Woodford",,,England,Goalkeeper,Stevenage,3684,,,,,,,,,,
1205843,"Stan Dancey","Stanley Robert Dancey",,"Wales, England",Right-Back,"Crewe Alexandra",1042,50000,,,,,,,,"Stan Dancey",
1211228,"Luca Moore","Luca Jack Moore",,England,"Central Midfield","Crewe Alexandra",1042,50000,,,,,,,,"Luca Moore",
1205846,"Joel McGregor","Joel David McGregor",,England,Right-Back,"Swindon Town",352,250000,,,,,,,,"Joel McGregor",
1209412,"Jack Blower","Jack James Blower",,England,"Central Midfield",Barnet,2804,,,,,,,,,,
1211229,"Oliver Armstrong",,,England,"Central Midfield","Crewe Alexandra",1042,,,,,,,,,"Oliver Armstrong",
1211266,"Freddie Taylor","Freddie James Taylor",,England,Right-Back,Bromley,8981,,,,,,,,,,
1211277,"Tegan Finn","Tegan-Lee Finn",,England,"Left Midfield",Plymouth,2262,100000,,,,,,,,"Tegan Finn",
1212260,"Che Gardner","Che-Daniel Ricardo Gardner",,"Jamaica, England","Right Winger",Stockport,1098,,,,,,,,,"Che Gardner",
121269,"Ryan Watson","Ryan James Watson",,England,"Defensive Midfield",Tranmere,1074,50000,,,,,,,,"Ryan Watson",
1005007,"Da Mata",,,Brazil,Centre-Back,Konyaspor,2293,,,,,,,,,,
121395,"Matty Pearson","Matthew Joe Pearson",,England,Centre-Back,Doncaster,2454,550000,,,,,,,,"Matthew Pearson",
1214630,"Jack McEvilly",,,England,Centre-Back,Tranmere,1074,,,,,,,,,,
1214677,"Mark Barber","Mark Andrew Barber",,England,Centre-Back,Cheltenham,3371,,,,,,,,,"Mark Barber",
121536,"Neill Byrne",,,Ireland,Centre-Back,Doncaster,2454,50000,,,,,,,,"Neill Byrne",
1215468,"Jay Smith-Sway",,,England,Right-Back,Huddersfield,1110,,,,,,,,,,
