id,league,team,player_name,weekly_gbp,annual_gbp,weekly_eur,annual_eur,age,position_raw,nationality,source_url
53154,Serie B,Bari,Davide Morisco,190,9880,224.2,11658.4,17,D C,Italy,/football/serie-b/bari/
53826,Serie B,Pisa,Ante Vukovic,2500,130000,2950.0,153400.0,20,GK,Croatia,/football/serie-b/pisa/
53827,Serie B,Pisa,Lorran,2000,104000,2360.0,122720.0,19,AM RC,Brazil,/football/serie-b/pisa/
53828,Serie B,Pisa,Marius Marin,1900,98800,2242.0,116584.0,26,DM,Romania,/football/serie-b/pisa/
53887,Serie B,Reggiana,Charlys,4400,228800,5192.0,269984.0,21,DM,Brazil,/football/serie-b/reggiana/
28559,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Jörg Siebenhandl,5100,265200,6018.0,312936.0,35,GK,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28560,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Alexander Schmidt,4500,234000,5310.0,276120.0,27,ST,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28561,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Aaron Sky Schwarz,3500,182000,4130.0,214760.0,21,AM RL,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28562,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Matteo Meisl,2900,150800,3422.0,177944.0,24,D C,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28563,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Matija Horvat,2900,150800,3422.0,177944.0,26,"D C, DM",Croatia,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28564,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Stefan Haudum,2600,135200,3068.0,159536.0,30,"D C, DM, M R",Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28565,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Deni Alar,2400,124800,2832.0,147264.0,35,AM/F C,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28566,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Georg Teigl,2200,114400,2596.0,134992.0,34,D/WB/AM R,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28567,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Onurhan Babuşcu,1800,93600,2124.0,110448.0,21,AM LC,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28568,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Turgay Gemicibaşı,1600,83200,1888.0,98176.0,29,DM,Türkiye,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28569,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Sandali Conde,1600,83200,1888.0,98176.0,22,GK,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28570,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Filip Ristanic,1300,67600,1534.0,79768.0,21,AM/F C,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28571,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Felix Holzhacker,1300,67600,1534.0,79768.0,23,"D/WB L, AM LC",Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
28572,Austrian Bundesliga,Fussballclub Admira Wacker Mödling,Josef Weberbauer,1100,57200,1298.0,67496.0,27,D/M R,Austria,/football/austrian-premier-division/fussballclub-admira-wacker-mödling/
