row_id,name,league,apps,minutes,team_id,atk_goals,atk_xg,atk_goals_vs_xg,atk_shots,atk_shots_on_target,atk_conversion_pct,atk_xg_per_shot,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_ground_duels_total,def_ground_duels_won,def_ground_duels_pct,def_aerial_duels_total,def_aerial_duels_won,def_aerial_duels_pct,pass_total,pass_accuracy_pct,pass_open_play_total,pass_open_play_pct,pass_final_third,pass_crosses,pass_long_total,pass_long_successful,pass_long_pct,pass_through_balls,carry_all_carries,carry_progressive,carry_distance_m,carry_avg_distance_m,carry_prog_distance_m,carry_prog_avg_distance_m,carry_lead_to_shot,carry_lead_to_goal,carry_lead_to_chance,carry_lead_to_assist,gk_goals_conceded,gk_saves,gk_save_pct,gk_xgot_conceded,gk_goals_prevented,gk_goals_prevented_rate,norm_name,source,season,analyst_player_id
178812586307328,Maxime Crépeau,MLS,20,1726,eaqreat4kxwvah0bvwg1wtoq5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,81.0,64.3,46.0,2.0,1.0,,,2026,
178812586307329,Cabral Carter,MLS,2,150,c6e7kqqrkt389ysrth6yy6puy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,80.0,3.7,1.7,1.5,,,2026,
178812586307330,Yohei Takaoka,MLS,19,1684,cdmq2tqfwo5td2ztv1s62bqlf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,32.0,68.1,16.3,1.3,1.1,,,2026,
178812586307331,CJ dos Santos,MLS,8,719,74lhmgpfmledj7a1h58wuar6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,24.0,70.6,11.1,1.1,1.1,,,2026,
178812586307332,Earl Edwards Jr.,MLS,1,24,a2jg79bf9ab1vj6iok2r328cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,100.0,0.8,0.8,0.0,,,2026,
178812586307333,Sébastian Breza,MLS,3,270,oisd4xgg4qxt18c7tikdejbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,50.0,4.8,0.8,1.0,,,2026,
178812586307334,Damian Las,MLS,1,90,yrsr1hyy65062qyzw8sug3ys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,85.7,1.5,0.5,1.0,,,2026,
178812586307335,Patrick Schulte,MLS,21,1890,chjb0xe5vlaaguop3q2nbalni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,57.0,61.3,36.5,0.5,1.0,,,2026,
178812586307336,Rocco Ríos Novo,MLS,5,450,7a7uyvix8axi28h7d3bwl4tbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,16.0,66.7,6.4,0.4,1.0,,,2026,
178812586307337,Nicolas Hansen,MLS,12,1080,cvrl5bces32x6fup1ks1hvets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,32.0,71.1,13.4,0.4,1.0,,,2026,
178812586307338,Jimmy Maurer,MLS,1,45,69m5c06m9up1j8vf8ulnb80xu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,100.0,0.3,0.3,0.0,,,2026,
178812586307339,Mason Stajduhar,MLS,1,90,29zyafx618w7tvp34n53pzwwb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,33.3,2.1,0.1,1.0,,,2026,
178812586307340,Pablo Sisniega,MLS,1,90,74lhmgpfmledj7a1h58wuar6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,62.5,3.1,0.1,1.0,,,2026,
178812586307341,Lucas Hoyos,MLS,21,1890,943ue6l8ylnidoygbi9p8op2h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,55.0,60.4,36.0,0.1,1.0,,,2026,
178812586307342,Sean Johnson,MLS,21,1890,5qw82lpi6fio4fbljihlyyulb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,76.0,67.9,35.9,-0.1,1.0,,,2026,
178812586307343,Roman Bürki,MLS,19,1710,7rh4h3y77fl3s7rdqp61si49g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,49.0,66.2,24.7,-0.3,1.0,,,2026,
178812586307344,Ethan Horvath,MLS,21,1890,7k329us81r2yiw9pakgo5tp6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,68.0,61.3,42.6,-0.4,1.0,,,2026,
178812586307345,Ben Lundt,MLS,2,180,7rh4h3y77fl3s7rdqp61si49g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,60.0,1.6,-0.4,0.5,,,2026,
178812586307346,Jonathan Sirois,MLS,7,611,4gi4qw4gt6nfq0c6r8y574qgp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,34.0,72.3,12.3,-0.7,0.9,,,2026,
178812586307347,Michael Collodi,MLS,13,1170,4gi4qw4gt6nfq0c6r8y574qgp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,33.0,63.5,17.3,-0.7,0.9,,,2026,
178812586307348,Rafael Cabral,MLS,19,1710,29zyafx618w7tvp34n53pzwwb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,53.0,63.9,28.3,-0.7,1.0,,,2026,
178812586307349,Stefan Cleveland,MLS,12,1080,3olfhpj6emfhceudd95ytb9gy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,37.0,58.7,24.1,-0.9,1.0,,,2026,
178812586307350,Thomas Hasal,MLS,3,210,c6e7kqqrkt389ysrth6yy6puy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,62.5,2.1,-0.9,0.7,,,2026,
178812586307351,Luka Gavran,MLS,21,1890,28teusnamw1ujgh5di1auf2f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,65.0,63.7,35.0,-1.0,0.9,,,2026,
178812586307352,Dayne St. Clair,MLS,16,1440,7a7uyvix8axi28h7d3bwl4tbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,45.0,58.4,31.0,-1.0,0.9,,,2026,
