name,team,league,apps,minutes,player_id,fotmob_rating,fotmob_mins_played,fotmob_accurate_passes,fotmob_key_passes,fotmob_xa,fotmob_xa_p90,fotmob_xg_xa_p90,fotmob_dribbles_won,defensive_contributions,fotmob_tackles,fotmob_clearances,ball_recovery,fotmob_penalties_conceded,fotmob_clean_sheets,fotmob_save_pct,fotmob_saves,fotmob_goals_prevented,fotmob_goals_conceded,fotmob_fouls,fotmob_yellow_cards,fotmob_interceptions,fotmob_big_chances_created,fotmob_goals,fotmob_goals_assists,fotmob_goals_p90,fotmob_xg,fotmob_xg_p90,fotmob_xgot,fotmob_shots_on_target,fotmob_shots,fotmob_accurate_long_balls,fotmob_big_chances_missed,fotmob_blocks,fotmob_poss_won_att_3rd,fotmob_assists,fotmob_penalties_won,fotmob_red_cards,fotmob_phys_top_speed,fotmob_phys_distance,fotmob_phys_sprints,fotmob_phys_distance_p90,fotmob_phys_sprints_p90,season,row_id,norm_name,source
"Bart Verbruggen",10204,"Premier League",,,1131987,6.93,3420,31,1,0.1,0,0,0,0.9,0,0.8,8.7,1,10,69.7,2.8,2,1.2,0.1,3,,,,,,,,,,,,,,,,,,,,,,,2025/2026,23441,,
"Bernd Leno",9879,"Premier League",,,215168,6.84,3420,28.4,,0,0,0,,1.3,0.1,1.2,8.4,,9,65.8,2.6,-6,1.3,,3,0,,,,,,,,,,,,,,,,,,,,,,2025/2026,23442,,
"Djordje Petrovic",8678,"Premier League",,,1067256,6.94,3420,15.3,,0,0,0,,1.6,,1.6,7.5,,11,66.9,2.9,-3,1.4,,3,,,,,,,,,,,,,,,,,,,,,,,2025/2026,23443,,
"Jordan Pickford",8668,"Premier League",,,303919,6.94,3420,23.3,2,0.2,0.01,0.01,,1.4,0.1,1.4,8.2,1,11,66.7,2.6,2.8,1.3,0,4,,1,,,,,,,,,,,,,,,,,,,,,2025/2026,23444,,
"Virgil van Dijk",8650,"Premier League",,,209405,7.26,3420,65.4,12,1.3,0.04,0.13,0.1,9.2,0.6,7.2,2.3,1,,,,,,0.5,4,0.7,,6,6,0.16,3.8,0.1,4.9,0.4,0.8,3.6,8,0.7,0.1,,,,,,,,,2025/2026,23445,,
"James Garner",8668,"Premier League",,,950474,7.4,3414,41.2,56,6,0.16,0.21,0.5,12.1,3.2,2.2,4.9,,,,,,,1,12,1.6,12,2,9,0.05,2,0.05,1.3,0.4,1.2,1.6,,0.3,0.4,7,,,,,,,,2025/2026,23446,,
"Jarrod Bowen",8654,"Premier League",,,523825,7.19,3405,15.5,45,5.2,0.14,0.33,1.4,7.5,1.3,1,4.2,,,,,,,0.5,5,0.7,16,9,20,0.24,7.3,0.19,7.1,0.7,2.1,0.4,5,0.2,0.7,11,,,,,,,,2025/2026,23447,,
"Adrien Truffert",8678,"Premier League",,,1177358,7.18,3380,34.7,32,3,0.08,0.12,0.9,8.1,2.7,3.8,5,,,,,,,1,5,1.3,4,1,6,0.03,1.4,0.04,1.6,0.2,0.4,1,1,0.3,0.2,5,,,,,,,,2025/2026,23448,,
"Nikola Milenkovic",10203,"Premier League",,,766611,6.68,3375,35.5,3,0.7,0.02,0.04,0.1,8.4,0.8,5.8,2.9,,,,,,,0.6,6,0.8,1,,,,0.8,0.02,0.1,0,0.4,2.2,2,1,,,,,,,,,,2025/2026,23449,,
"Elliot Anderson",10203,"Premier League",,,1089691,7.51,3334,55,54,4.8,0.13,0.21,1.3,13.9,2.8,1.3,8.3,1,,,,,,1.5,8,1.1,9,4,8,0.11,2.9,0.08,2.4,0.3,1.2,3.2,1,0.4,0.7,4,,,,,,,,2025/2026,23450,,
