player_id,name,team,league,sofascore_id,full_name,nationality,position,jersey_number,preferred_foot,height_cm,birth_date,team_name,team_id,market_value_eur,contract_until,national_team_country,is_international,stat_rating,stat_totalRating,stat_countRating,stat_goals,stat_bigChancesCreated,stat_bigChancesMissed,stat_assists,stat_expectedAssists,stat_goalsAssistsSum,stat_accuratePasses,stat_inaccuratePasses,stat_totalPasses,stat_accuratePassesPercentage,stat_accurateOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_accurateFinalThirdPasses,stat_keyPasses,stat_successfulDribbles,stat_successfulDribblesPercentage,stat_tackles,stat_interceptions,stat_yellowCards,stat_directRedCards,stat_redCards,stat_accurateCrosses,stat_accurateCrossesPercentage,stat_totalShots,stat_shotsOnTarget,stat_shotsOffTarget,stat_groundDuelsWon,stat_groundDuelsWonPercentage,stat_aerialDuelsWon,stat_aerialDuelsWonPercentage,stat_totalDuelsWon,stat_totalDuelsWonPercentage,stat_minutesPlayed,stat_goalConversionPercentage,stat_penaltiesTaken,stat_penaltyGoals,stat_penaltyWon,stat_penaltyConceded,stat_shotFromSetPiece,stat_freeKickGoal,stat_goalsFromInsideTheBox,stat_goalsFromOutsideTheBox,stat_shotsFromInsideTheBox,stat_shotsFromOutsideTheBox,stat_headedGoals,stat_leftFootGoals,stat_rightFootGoals,stat_accurateLongBalls,stat_accurateLongBallsPercentage,stat_clearances,stat_errorLeadToGoal,stat_errorLeadToShot,stat_dispossessed,stat_possessionLost,stat_possessionWonAttThird,stat_totalChippedPasses,stat_accurateChippedPasses,stat_touches,stat_wasFouled,stat_fouls,stat_hitWoodwork,stat_ownGoals,stat_dribbledPast,stat_offsides,stat_blockedShots,stat_passToAssist,stat_saves,stat_cleanSheet,stat_penaltyFaced,stat_penaltySave,stat_savedShotsFromInsideTheBox,stat_savedShotsFromOutsideTheBox,stat_goalsConcededInsideTheBox,stat_goalsConcededOutsideTheBox,stat_punches,stat_runsOut,stat_successfulRunsOut,stat_highClaims,stat_crossesNotClaimed,stat_matchesStarted,stat_penaltyConversion,stat_setPieceConversion,stat_totalAttemptAssist,stat_totalContest,stat_totalCross,stat_duelLost,stat_aerialLost,stat_attemptPenaltyMiss,stat_attemptPenaltyPost,stat_attemptPenaltyTarget,stat_totalLongBalls,stat_goalsConceded,stat_tacklesWon,stat_tacklesWonPercentage,stat_scoringFrequency,stat_yellowRedCards,stat_savesCaught,stat_savesParried,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totwAppearances,stat_expectedGoals,stat_goalKicks,stat_ballRecovery,stat_outfielderBlocks,stat_appearances,sofascore_rating,attr_att,attr_cre,attr_tec,attr_def,attr_tac,stat_goalsPrevented,stat_kilometersCovered,stat_numberOfSprints,stat_topSpeed,stat_km_per90,stat_sprints_per90,season
50539,Adrián,Real Betis,La Liga,50539,Adrián,Spain,G,13.0,Right,190.0,1987-01-03,Real Betis,2816,,,,0,8.1,8.1,1,0,0,0,0,0.00057916,0,26,6,32,81.25,24,2,1,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45.454545454545,1,0,0,0,6,0,4,3,47,0,0,0,0,0,0,0,0,6,0,0,0,5,1,1,0,1,1,1,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,11,1,0,0.0,0.0,0,0,1,26,6,0,,4,14,0.0,1,8.1,,,,,,2.2187,,,,,,LaLiga 25/26
1402912,Lamine Yamal,FC Barcelona,La Liga,1402912,Lamine Yamal,Spain,M,10.0,Left,183.0,2007-07-13,FC Barcelona,2817,237000000.0,2031-06-30,,0,7.9285714285714,222.0,28,16,26,7,11,10.08866476,27,1094,255,1349,81.097108969607,215,879,569,73,133,54.732510288066,35,10,1,0,0,23,28.048780487805,117,37,48,220,53.789731051345,0,0.0,220,53.140096618357,2268,13.675213675214,4,3,2,0,4,0,14,2,75,42,0,14,2,32,47.058823529412,3,0,0,40,569,19,105,34,2138,52,28,4,0,11,14,32,1,0,6,0,0,0,0,22,1,0,0,0,0,0,26,75.0,0.0,72,243,82,194,5,0,1,0,68,23,21,60.0,141.75,0,0,0,240,1109,9,12.8145,0,99,0.0,28,7.9285714285714,91.0,95.0,99.0,37.0,63.0,,220.12,345.0,35.69,8.73,13.7,LaLiga 25/26
1082734,Angel Fortuno,Espanyol,La Liga,1082734,Angel Fortuno,Spain,G,1.0,Right,183.0,2001-01-01,Espanyol,2814,290000.0,2030-06-30,,0,7.9,7.9,1,0,0,0,0,0.00286108,0,21,2,23,91.304347826087,17,4,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,2,100.0,2,100.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80.0,0,0,0,0,4,0,0,0,41,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,5,0,1,0.0,0.0,0,0,0,0,0,0,0,0,10,1,0,0.0,0.0,0,0,1,18,5,0,,5,10,0.0,1,7.9,,,,,,0.2618,,,,,,LaLiga 25/26
2660173,Pablo Cunat Campos,Levante UD,La Liga,2660173,Pablo Cunat Campos,Spain,G,1.0,Left,188.0,2002-04-28,Levante UD,2849,1600000.0,2027-06-30,,0,7.75,15.5,2,0,0,0,0,0.00291822,0,29,28,57,50.877192982456,20,9,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,2,100.0,2,100.0,180,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35.714285714286,6,0,0,0,28,0,2,1,90,0,0,0,0,0,0,0,0,11,0,0,0,6,4,4,1,5,0,0,2,0,2,0.0,0.0,0,0,0,0,0,0,0,0,42,5,0,0.0,0.0,0,0,2,21,36,1,,26,25,0.0,2,7.75,,,,,,-0.2564,11.46,0.0,25.73,5.73,0.0,LaLiga 25/26
965832,Dani Cárdenas,Rayo Vallecano,La Liga,965832,Dani Cárdenas,Spain,G,1.0,Right,185.0,1997-03-28,Rayo Vallecano,2818,1700000.0,2027-06-30,,0,7.75,31.0,4,0,0,0,0,0.00424675,0,85,38,123,69.105691056911,68,17,4,0,0,0.0,1,0,0,0,0,0,0.0,0,0,0,1,100.0,0,0.0,1,100.0,360,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44.117647058824,10,0,0,0,41,0,34,17,174,0,0,0,0,0,0,0,0,20,1,2,1,11,9,7,0,6,3,3,0,0,4,0.0,0.0,0,0,0,0,0,0,0,0,68,7,1,100.0,0.0,0,0,6,78,45,1,,13,27,0.0,4,7.75,,,,,,3.2515,5.02,0.0,23.21,1.25,0.0,LaLiga 25/26
1094782,Unai Marrero,Real Sociedad,La Liga,1094782,Unai Marrero,Spain,G,13.0,Right,187.0,2001-10-09,Real Sociedad,2824,1100000.0,2030-06-30,,0,7.7,7.7,1,0,0,0,0,0.003766,0,21,17,38,55.263157894737,13,8,1,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39.285714285714,1,0,0,0,17,0,6,4,52,0,0,0,0,0,0,0,0,7,0,0,0,6,1,1,0,1,1,1,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,28,1,0,0.0,0.0,0,0,1,21,17,0,,10,13,0.0,1,7.7,,,,,,0.7581,,,,,,LaLiga 25/26
1464652,Álvaro Cortés,FC Barcelona,La Liga,1464652,Álvaro Cortés,Spain,D,5.0,Left,189.0,2005-03-17,FC Barcelona,2817,3600000.0,2028-06-30,,0,7.6,7.6,1,0,0,0,0,0.0261442,0,87,5,92,94.565217391304,50,37,9,0,1,100.0,1,1,0,0,0,0,0.0,0,0,0,3,75.0,4,44.444444444444,7,53.846153846154,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62.5,5,0,0,1,7,0,2,1,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0,1,0,6,5,0,0,0,8,1,1,100.0,0.0,0,0,0,51,41,0,,1,3,1.0,1,7.6,,,,,,,8.92,9.0,29.26,8.92,9.0,LaLiga 25/26
99516,Aitor Fernández,Osasuna,La Liga,99516,Aitor Fernández,Spain,G,13.0,Right,182.0,1991-05-03,Osasuna,2820,465000.0,2027-06-30,,0,7.6,15.2,2,0,0,0,0,0.00259297,0,31,20,51,60.78431372549,20,11,1,0,1,100.0,0,0,3,0,0,0,0.0,0,0,0,1,100.0,0,0.0,1,100.0,136,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44.444444444444,1,0,0,0,20,0,4,2,71,0,0,0,0,0,0,0,0,9,0,1,0,6,3,3,0,0,1,1,2,0,1,0.0,0.0,0,1,0,0,0,0,0,0,36,3,0,0.0,0.0,0,0,2,21,30,0,,13,14,0.0,2,7.6,,,,,,1.0483,2.85,1.0,28.73,1.89,0.7,LaLiga 25/26
826643,Kylian Mbappé,Real Madrid,La Liga,826643,Kylian Mbappé,France,F,10.0,Right,180.0,1998-12-20,Real Madrid,2829,212000000.0,2029-06-30,,0,7.5612903225806,234.4,31,25,8,21,5,6.2019957,30,863,135,998,86.472945891784,148,715,504,65,78,52.348993288591,4,2,4,0,0,6,22.222222222222,146,63,47,118,47.773279352227,7,70.0,125,48.63813229572,2604,17.123287671233,9,8,4,0,6,0,19,6,103,43,0,2,23,34,80.952380952381,0,0,0,41,345,21,61,40,1541,36,13,3,0,8,39,36,0,0,8,0,0,0,0,21,5,0,0,0,0,0,29,88.888888888889,0.0,65,149,27,132,3,0,0,1,42,26,1,25.0,104.16,0,0,0,158,840,9,23.9453,0,44,0.0,31,7.5612903225806,98.0,75.0,88.0,25.0,73.0,,250.67,476.0,36.04,8.66,16.5,LaLiga 25/26
992587,Pedri,FC Barcelona,La Liga,992587,Pedri,Spain,M,8.0,Right,174.0,2002-11-25,FC Barcelona,2817,164000000.0,2030-06-30,,0,7.5586206896552,219.2,29,2,8,4,9,5.39188167,11,1882,173,2055,91.581508515815,603,1279,664,64,38,67.857142857143,50,24,0,0,1,5,38.461538461538,21,10,6,131,59.817351598174,10,83.333333333333,141,61.038961038961,2107,9.5238095238095,0,0,0,0,0,0,1,1,10,11,0,1,1,94,68.613138686131,23,0,1,29,267,18,140,88,2463,43,9,0,0,32,1,5,1,0,4,0,0,0,0,19,1,0,0,0,0,0,23,0.0,0.0,63,56,13,90,2,0,0,0,137,20,29,58.0,1053.5,1,0,0,643,1412,7,1.5746,0,163,2.0,29,7.5586206896552,65.0,83.0,74.0,49.0,65.0,,246.34,280.0,33.03,10.52,12.0,LaLiga 25/26
