id,player_id,title,total_count,season,club_id,club_name,competition
116007,283233,Norwegian Super Cup Winner,,2017,195.0,Rosenborg BK,
116085,284730,English Champion,,23/24,281.0,Manchester City,
116086,284730,English Champion,,22/23,281.0,Manchester City,
116087,284730,Italian champion,,25/26,46.0,Inter Milan,
116088,284730,Uefa Supercup winner,,23/24,281.0,Manchester City,
116089,284730,German cup winner,,20/21,16.0,Borussia Dortmund,
116090,284730,FIFA Club World Cup winner,,2024,281.0,Manchester City,
116091,284730,English FA Cup winner,,2023,281.0,Manchester City,
116092,284730,Italian cup winner,,25/26,46.0,Inter Milan,
116174,287183,Russian Super Cup winner,,18/19,2410.0,CSKA Moscow,
116175,287188,Croatian champion,,25/26,419.0,GNK Dinamo Zagreb,
116257,288431,Brazilian champion,,2025,614.0,CR Flamengo,
107085,1000301,Bremenliga Champion,,23/24,87.0,SV Werder Bremen II,
107086,1000301,Westphalia Cup winner,,25/26,93.0,SC Verl,
107087,1000675,Argentinian champion,,2024,1029.0,CA Vélez Sarsfield,
107088,1000675,Winner Copa LPF Proyección Inicial,,23/24,14842.0,CA Vélez Sarsfield II,
107089,1000674,Portuguese Super Cup winner,,2026,294.0,SL Benfica,
107090,100131,Player of the Year,,14/15,,,2015 European Under-21 Football Championship
107091,100131,European champion,,2016,3300.0,Portugal,
107092,100131,Winner UEFA Nations League,,2019,3300.0,Portugal,
107093,100131,Spanish cup winner,,21/22,150.0,Real Betis Balompié,
107094,100131,Portuguese cup winner,,2015,336.0,Sporting CP,
107095,100131,Portuguese league cup winner,,17/18,336.0,Sporting CP,
107096,100131,Torneio Internacional Algarve U17,,2009,23137.0,Portugal U17,
107097,1001531,Winner South American Games,,21/22,22982.0,Paraguay U20,
107098,1001531,Paraguayan Champion Apertura,,2023,9875.0,Club Libertad Asunción,
107099,1001531,Paraguayan Champion Apertura,,2022,9875.0,Club Libertad Asunción,
107100,1001531,Paraguayan Champion Clausura,,2023,9875.0,Club Libertad Asunción,
107101,1001839,Scottish Second League Champion,,24/25,1191.0,Falkirk FC,
107102,1002127,Canadian Champion,,24/25,79097.0,Atlético Ottawa,
107103,1002223,MLS Next Pro Cup Champion,,24/25,39815.0,New York Red Bulls II,
107104,1002283,Canadian Cup Winner,,2024,6321.0,Vancouver Whitecaps FC,
107105,1002288,Copa São Paulo de Juniores winner,,2022,14807.0,SE Palmeiras São Paulo U20,
107106,1003546,Danish champion,,23/24,865.0,FC Midtjylland,
107107,1003546,Danish Youth Champion,,2024,9054.0,FC Midtjylland U19,
107108,1003546,Danish Youth Champion,,2023,9054.0,FC Midtjylland U19,
107109,1003912,Chilean Super Cup Winner,,24/25,1037.0,Club Universidad de Chile,
107110,100379,Colombian Champion,,24/25,11648.0,Independiente Santa Fe,
107111,100379,Colombian Cup winner,,19/20,10093.0,Independiente Medellín,
107112,100379,Colombian Cup winner,,18/19,10093.0,Independiente Medellín,
107113,100379,Colombian Super Cup winner,,25/26,11648.0,Independiente Santa Fe,
107114,100379,Under-20 South American Championship winner,,2013,28266.0,Colombia U20,
