name,tm_id,season,league,apps,minutes,atk_goals,atk_xg,atk_goals_vs_xg,atk_shots,atk_shots_on_target,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_ground_duels_total,def_ground_duels_won,def_aerial_duels_total,def_aerial_duels_won,pass_total,pass_open_play_total,pass_final_third,pass_crosses,pass_long_total,pass_through_balls,carry_all_carries,carry_progressive,carry_distance_m,carry_prog_distance_m,carry_lead_to_shot,carry_lead_to_goal,carry_lead_to_chance,carry_lead_to_assist,gk_goals_conceded,gk_saves,gk_xgot_conceded,gk_goals_prevented,atk_conversion_pct,atk_xg_per_shot,def_ground_duels_pct,def_aerial_duels_pct,pass_accuracy_pct,pass_open_play_pct,pass_long_pct,carry_avg_distance_m,carry_prog_avg_distance_m,gk_save_pct,row_id,team_id,pass_long_successful,gk_goals_prevented_rate,norm_name,source,analyst_player_id,atk_goals_per90,atk_xg_per90,atk_shots_per90,atk_shots_on_target_per90,def_tackles_per90,def_interceptions_per90,def_possession_won_per90,def_blocks_per90,def_clearances_per90,def_ground_duels_total_per90,def_ground_duels_won_per90,def_aerial_duels_total_per90,def_aerial_duels_won_per90,pass_total_per90,pass_open_play_total_per90,pass_final_third_per90,pass_crosses_per90,pass_long_total_per90,pass_through_balls_per90,carry_all_carries_per90,carry_progressive_per90,carry_distance_m_per90,carry_prog_distance_m_per90,carry_lead_to_shot_per90,carry_lead_to_goal_per90,carry_lead_to_chance_per90,carry_lead_to_assist_per90,gk_goals_conceded_per90,gk_saves_per90,gk_xgot_conceded_per90,gk_goals_prevented_per90,sofascore_id,stat_bigChancesCreated,stat_bigChancesMissed,stat_keyPasses,stat_penaltiesTaken,stat_offsides,stat_km_per90,stat_sprints_per90,stat_topSpeed,stat_bigChancesCreated_per90,stat_bigChancesMissed_per90,stat_keyPasses_per90
Emerson,70.0,2025/2026,"Ligue 1, Champions League",33,2504,0.0,0.58,-0.58,15.0,2.0,57.0,40.0,97.0,10.0,74.0,151.0,88.0,48.0,30.0,1451.0,441.0,1283.0,361.0,52.0,4.0,366.0,218.0,4351.0,2326.7,4.0,0.0,9.0,3.0,,,,,0.0,0.03,58.28,61.95,88.34,81.9,11.8,11.79,10.66,,81288,27xvwccz8kpmqsefjv2b2sc0o,7.0,,,,,0.0,0.02,0.54,0.07,2.05,1.44,3.49,0.36,2.66,5.43,3.16,1.73,1.08,52.15,15.85,46.11,12.98,1.87,0.14,13.15,7.84,156.39,83.63,0.14,0.0,0.32,0.11,,,,,155997,9.0,0.0,49.0,0.0,4.0,10.19,15.17,33.87,0.32,0.0,1.76
Emerson,70.0,2026/2027,Ligue 1,4,359,0.0,0.1,-0.1,3.0,1.0,7.0,4.0,15.0,1.0,5.0,26.0,18.0,5.0,3.0,259.0,80.0,230.0,70.0,10.0,0.0,71.0,44.0,715.9,420.9,3.0,0.0,2.0,0.0,,,,,0.0,0.03,69.2,60.0,88.8,87.5,20.0,10.1,9.6,,178948265602106,27xvwccz8kpmqsefjv2b2sc0o,2.0,,,,,0.0,0.03,0.75,0.25,1.75,1.0,3.76,0.25,1.25,6.52,4.51,1.25,0.75,64.93,20.06,57.66,17.55,2.51,0.0,17.8,11.03,179.47,105.52,0.75,0.0,0.5,0.0,,,,,155997,2.0,0.0,4.0,0.0,0.0,9.71,17.0,34.31,0.5,0.0,1.0
James Milner,3333.0,2025/2026,Premier League,20,778,1.0,1.02,-0.02,8.0,2.0,15.0,6.0,40.0,1.0,19.0,46.0,19.0,16.0,6.0,487.0,138.0,423.0,103.0,9.0,1.0,74.0,42.0,697.4,337.2,1.0,0.0,2.0,0.0,,,,,12.5,0.13,41.3,37.5,86.9,74.6,33.3,9.4,8.0,,78662,e5p0ehyguld7egzhiedpdnc3w,3.0,,,,,0.12,0.12,0.93,0.23,1.74,0.69,4.63,0.12,2.2,5.32,2.2,1.85,0.69,56.34,15.96,48.93,11.92,1.04,0.12,8.56,4.86,80.68,39.01,0.12,0.0,0.23,0.0,,,,,791,1.0,0.0,8.0,1.0,1.0,11.91,15.5,34.95,0.12,0.0,0.93
Abdoulaye Faye,6107.0,2025/2026,Ligue 1,17,1446,0.0,0.59,-0.59,8.0,2.0,32.0,28.0,49.0,6.0,91.0,87.0,52.0,60.0,33.0,834.0,99.0,731.0,72.0,4.0,0.0,191.0,93.0,1768.3,742.0,0.0,0.0,0.0,0.0,,,,,0.0,0.07,59.8,55.0,87.7,72.7,0.0,9.3,8.0,,81286,70nn27vgkt6l48lvv5e66q7ww,0.0,,,,,0.0,0.04,0.5,0.12,1.99,1.74,3.05,0.37,5.66,5.41,3.24,3.73,2.05,51.91,6.16,45.5,4.48,0.25,0.0,11.89,5.79,110.06,46.18,0.0,0.0,0.0,0.0,,,,,1529051,0.0,1.0,2.0,0.0,0.0,9.27,9.6,34.33,0.0,0.06,0.12
Jonas Hofmann,7161.0,2025/2026,Bundesliga,23,1009,2.0,1.71,0.29,23.0,7.0,13.0,2.0,38.0,0.0,13.0,51.0,29.0,9.0,4.0,547.0,191.0,457.0,144.0,28.0,5.0,112.0,42.0,1082.8,258.6,3.0,0.0,5.0,2.0,,,,,8.7,0.07,56.9,44.4,83.5,75.4,3.6,9.7,6.2,,80612,7ad69ngbpjuyzv96drf8d9sn2,1.0,,,,,0.18,0.15,2.05,0.62,1.16,0.18,3.39,0.0,1.16,4.55,2.59,0.8,0.36,48.79,17.04,40.76,12.84,2.5,0.45,9.99,3.75,96.58,23.07,0.27,0.0,0.45,0.18,,,,,142390,5.0,1.0,16.0,0.0,3.0,11.76,20.8,33.09,0.45,0.09,1.43
Carlos Domínguez,7689.0,2025/2026,"La Liga, Europa League",11,724,0.0,0.55,-0.55,3.0,1.0,17.0,8.0,33.0,6.0,57.0,34.0,18.0,24.0,18.0,543.0,46.0,492.0,35.0,1.0,0.0,95.0,59.0,983.3,647.2,0.0,0.0,0.0,0.0,,,,,0.0,0.22,53.2,74.72,90.72,75.13,0.0,10.37,11.15,,79361,6f27yvbqcngegwsg2ozxxdj4,0.0,,,,,0.0,0.07,0.37,0.12,2.11,0.99,4.1,0.75,7.09,4.23,2.24,2.98,2.24,67.5,5.72,61.16,4.35,0.12,0.0,11.81,7.33,122.23,80.45,0.0,0.0,0.0,0.0,,,,,1069703,0.0,1.0,1.0,0.0,0.0,10.61,12.81,34.44,0.0,0.12,0.12
Pablo Ibáñez,8116.0,2025/2026,La Liga,37,2247,1.0,4.39,-3.39,47.0,13.0,57.0,21.0,125.0,10.0,26.0,308.0,154.0,53.0,26.0,1011.0,326.0,867.0,253.0,36.0,2.0,313.0,156.0,3646.5,1527.1,6.0,0.0,4.0,0.0,,,,,2.13,0.09,50.0,49.1,85.8,77.6,19.4,11.7,9.8,,79102,4dtdjgnpdq9uw4sdutti0vaar,7.0,,,,,0.04,0.18,1.88,0.52,2.28,0.84,5.01,0.4,1.04,12.34,6.17,2.12,1.04,40.49,13.06,34.73,10.13,1.44,0.08,12.54,6.25,146.05,61.17,0.24,0.0,0.16,0.0,,,,,1084381,1.0,3.0,19.0,0.0,3.0,11.02,17.1,34.22,0.04,0.12,0.76
Pablo Ibáñez,8116.0,2026/2027,La Liga,5,405,1.0,0.36,0.64,6.0,2.0,4.0,5.0,24.0,0.0,6.0,41.0,18.0,4.0,4.0,143.0,52.0,114.0,31.0,4.0,0.0,60.0,32.0,677.7,322.6,2.0,0.0,0.0,0.0,,,,,16.67,0.06,43.9,100.0,79.7,59.6,0.0,11.3,10.1,,178948265400565,4dtdjgnpdq9uw4sdutti0vaar,0.0,,,,,0.22,0.08,1.33,0.44,0.89,1.11,5.33,0.0,1.33,9.11,4.0,0.89,0.89,31.78,11.56,25.33,6.89,0.89,0.0,13.33,7.11,150.6,71.69,0.44,0.0,0.0,0.0,,,,,1084381,0.0,0.0,0.0,0.0,0.0,10.44,7.8,31.38,0.0,0.0,0.0
Daley Blind,12282.0,2025/2026,La Liga,31,2610,0.0,0.26,-0.26,5.0,1.0,55.0,39.0,141.0,20.0,126.0,134.0,87.0,70.0,33.0,2107.0,401.0,1883.0,305.0,10.0,6.0,584.0,319.0,6268.5,3149.6,1.0,0.0,6.0,0.0,,,,,0.0,0.05,64.9,47.1,89.4,76.1,30.0,10.7,9.9,,79432,7h7eg7q7dbwvzww78h9d5eh0h,3.0,,,,,0.0,0.01,0.17,0.03,1.9,1.34,4.86,0.69,4.34,4.62,3.0,2.41,1.14,72.66,13.83,64.93,10.52,0.34,0.21,20.14,11.0,216.16,108.61,0.03,0.0,0.21,0.0,,,,,44864,1.0,0.0,11.0,0.0,0.0,10.18,11.0,33.47,0.03,0.0,0.38
Antonín Kinsky,15322.0,2025/2026,Premier League,7,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,6.5,-0.5,,,,,,,,,,58.8,79021,22doj4sgsocqpxw45h607udje,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.43,0.93,-0.07,1031251,0.0,0.0,0.0,0.0,0.0,0.7,0.0,22.5,0.0,0.0,0.0
